family,genus,species,species english
STRUTHIONIDAE,STRUTHIO,Struthio camelus,Common Ostrich
STRUTHIONIDAE,STRUTHIO,Struthio camelus,Common Ostrich
STRUTHIONIDAE,STRUTHIO,Struthio camelus,Common Ostrich
STRUTHIONIDAE,STRUTHIO,Struthio camelus,Common Ostrich
STRUTHIONIDAE,STRUTHIO,Struthio molybdophanes,Somali Ostrich
RHEIDAE,RHEA,Rhea americana,Greater Rhea
RHEIDAE,RHEA,Rhea americana,Greater Rhea
RHEIDAE,RHEA,Rhea americana,Greater Rhea
RHEIDAE,RHEA,Rhea americana,Greater Rhea
RHEIDAE,RHEA,Rhea americana,Greater Rhea
RHEIDAE,RHEA,Rhea pennata,Lesser Rhea
RHEIDAE,RHEA,Rhea pennata,Lesser Rhea
RHEIDAE,RHEA,Rhea pennata,Lesser Rhea
TINAMIDAE,NOTHOCERCUS,Nothocercus julius,Tawny-breasted Tinamou
TINAMIDAE,NOTHOCERCUS,Nothocercus bonapartei,Highland Tinamou
TINAMIDAE,NOTHOCERCUS,Nothocercus bonapartei,Highland Tinamou
TINAMIDAE,NOTHOCERCUS,Nothocercus bonapartei,Highland Tinamou
TINAMIDAE,NOTHOCERCUS,Nothocercus bonapartei,Highland Tinamou
TINAMIDAE,NOTHOCERCUS,Nothocercus bonapartei,Highland Tinamou
TINAMIDAE,NOTHOCERCUS,Nothocercus nigrocapillus,Hooded Tinamou
TINAMIDAE,NOTHOCERCUS,Nothocercus nigrocapillus,Hooded Tinamou
TINAMIDAE,TINAMUS,Tinamus tao,Gray Tinamou
TINAMIDAE,TINAMUS,Tinamus tao,Gray Tinamou
TINAMIDAE,TINAMUS,Tinamus tao,Gray Tinamou
TINAMIDAE,TINAMUS,Tinamus tao,Gray Tinamou
TINAMIDAE,TINAMUS,Tinamus solitarius,Solitary Tinamou
TINAMIDAE,TINAMUS,Tinamus osgoodi,Black Tinamou
TINAMIDAE,TINAMUS,Tinamus osgoodi,Black Tinamou
TINAMIDAE,TINAMUS,Tinamus major,Great Tinamou
TINAMIDAE,TINAMUS,Tinamus major,Great Tinamou
TINAMIDAE,TINAMUS,Tinamus major,Great Tinamou
TINAMIDAE,TINAMUS,Tinamus major,Great Tinamou
TINAMIDAE,TINAMUS,Tinamus major,Great Tinamou
TINAMIDAE,TINAMUS,Tinamus major,Great Tinamou
TINAMIDAE,TINAMUS,Tinamus major,Great Tinamou
TINAMIDAE,TINAMUS,Tinamus major,Great Tinamou
TINAMIDAE,TINAMUS,Tinamus major,Great Tinamou
TINAMIDAE,TINAMUS,Tinamus major,Great Tinamou
TINAMIDAE,TINAMUS,Tinamus major,Great Tinamou
TINAMIDAE,TINAMUS,Tinamus major,Great Tinamou
TINAMIDAE,TINAMUS,Tinamus guttatus,White-throated Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus berlepschi,Berlepsch's Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus cinereus,Cinereous Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus ptaritepui,Tepui Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus soui,Little Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus soui,Little Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus soui,Little Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus soui,Little Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus soui,Little Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus soui,Little Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus soui,Little Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus soui,Little Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus soui,Little Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus soui,Little Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus soui,Little Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus soui,Little Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus soui,Little Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus soui,Little Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus obsoletus,Brown Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus obsoletus,Brown Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus obsoletus,Brown Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus obsoletus,Brown Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus obsoletus,Brown Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus obsoletus,Brown Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus obsoletus,Brown Tinamou
TINAMIDAE,CRYPTURELLUS,Crypturellus obsoletus,Brown Tinamou
